name,category,url
Material Setup - Flat,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/material-setup-flat/index.html
Material Setup - Rotary,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/material-setup-rotary/index.html
Merged Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Merged%20Toolpath/index.html
Moulding Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/uiExtrudedToolpathForm/index.html
Photo V-Carve Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/PhotoVCarveStrategy/index.html
Pocketing Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/uiPocketMachineForm/index.html
Preview Toolpaths,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Preview%20Toolpaths/index.html
Prism Carving Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Prism%20Carving%20Toolpath/index.html
Quick Engraving Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Quick%20Engrave/index.html
Recalculate All Toolpaths,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/recalculate-all-toolpaths/index.html
Save All Visible Toolpaths as a Template,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/save-all-visible-toolpaths-as-a-template/index.html
Save Toolpath Template,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/save-toolpath-template/index.html
Sketch Carving,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/SketchCarvingForm/index.html
Texture Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Texture%20Toolpath/index.html
Thread Milling Toolpath,Toolpaths,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/ThreadMillingStrategy/index.html
